State,Station,Max.,Min.
Andaman and Nicobar Island,Car-Nicobar,38.1,10.9
,Hut Bay,39.4,0.2
,Kondul,47.2,14
,Long Island,43.1,14.6
,Mayabandar,39,14
,Nancowry,39.2,13.9
,Port Blair,36.4,14.6
Andhra Pradesh,Anantapur,44.1,9.4
,Arogyavaram,40.6,8
,Bapatla,47.4,11.1
,Cuddapah,46.1,10
,Dolphine Nose/CDR Visakhapatnam,42.8,14.1
,Gannavaram (A),48.8,8.5
,Kakinada,47.2,12
,Kalingapatanam,46.2,10.3
,Kavali,47.2,16.4
,Kurnool,45.6,6.7
,Masulipatnam,47.8,13.2
,Nandigama,47.1,9.3
,Nandyal,48.2,9.2
,Narsapur,46.1,14.6
,Nellore,46.7,11.1
,Nidadavolu,48.9,11.4
,Ongole,47.4,14
,Rentachintala,49.9,9.4
,Tirmalai,37.6,3.6
,Tirupathy,45.2,12.9
,Tuni,47.5,13.9
,Vishakhapatnam,45.4,10.5
